Campaign Name,Channel,Date,Spend,Clicks,Impressions,Conversions,Revenue,CTR,CPC,CPA,ROAS
Viral Loop,TikTok,2025-05-03,52.3,65,1781,3,74.47,0.0364963503649635,0.8046153846153846,17.433333333333334,1.4239005736137669
Lead Magnet,LinkedIn,2025-05-03,187.18,389,10795,32,1323.69,0.03603520148216767,0.48118251928020567,5.849375,7.071749118495566
B2B Outreach,LinkedIn,2025-05-03,109.31,187,4702,27,1227.87,0.03977031050616759,0.5845454545454546,4.048518518518518,11.232915561247825
Webinar Promo,LinkedIn,2025-05-03,214.4,155,11305,16,447.3,0.013710747456877488,1.383225806451613,13.4,2.0862873134328357
Search Max,Google Ads,2025-05-04,111.0,196,7650,36,1401.63,0.02562091503267974,0.5663265306122449,3.0833333333333335,12.627297297297298
Brand Awareness,Google Ads,2025-05-04,248.7,412,12461,51,1318.72,0.03306315704999599,0.603640776699029,4.876470588235294,5.302452754322477
Retargeting Boost,Google Ads,2025-05-04,230.61,104,9508,15,379.7,0.01093815734118637,2.217403846153846,15.374,1.6465027535666275
Engagement Surge,Meta Ads,2025-05-04,285.11,905,19432,95,1944.05,0.0465726636475916,0.31503867403314917,3.0011578947368425,6.818596331240573
Conversion Magnet,Meta Ads,2025-05-04,282.08,646,13293,125,5698.79,0.04859700594297751,0.436656346749226,2.25664,20.202743902439025
Lookalike Expansion,Meta Ads,2025-05-04,123.61,247,5612,24,602.03,0.044012829650748396,0.5004453441295547,5.150416666666667,4.870398835045708
Video Funnel,YouTube,2025-05-04,189.2,482,12760,65,1489.49,0.03777429467084639,0.3925311203319502,2.9107692307692306,7.872568710359409
Pre-Roll Push,YouTube,2025-05-04,203.75,221,14181,28,1296.99,0.015584232423665467,0.9219457013574661,7.276785714285714,6.36559509202454
Channel Lift,YouTube,2025-05-04,235.19,518,13612,53,1526.81,0.03805465765501029,0.45403474903474905,4.437547169811321,6.491815128194226
Trend Jumps,TikTok,2025-05-04,252.34,703,15747,131,4629.58,0.04464342414428145,0.3589473684210526,1.9262595419847328,18.346595862724893
Creator Collab,TikTok,2025-05-04,175.38,390,10861,60,2632.43,0.03590829573704079,0.44969230769230767,2.923,15.00986429467442
Viral Loop,TikTok,2025-05-04,272.5,296,11859,18,672.27,0.02495994603254912,0.9206081081081081,15.13888888888889,2.467045871559633
Lead Magnet,LinkedIn,2025-05-04,58.99,90,2868,8,301.8,0.03138075313807531,0.6554444444444445,7.37375,5.116121376504492
B2B Outreach,LinkedIn,2025-05-04,57.63,77,1814,8,190.49,0.04244762954796031,0.7484415584415585,7.20375,3.3053964948811383
Webinar Promo,LinkedIn,2025-05-04,180.56,204,10978,29,654.25,0.018582619785024596,0.8850980392156863,6.226206896551724,3.623449268941072
Search Max,Google Ads,2025-05-05,62.92,101,3224,14,584.96,0.031327543424317615,0.622970297029703,4.494285714285715,9.29688493324857
Brand Awareness,Google Ads,2025-05-05,293.96,341,14889,57,1603.12,0.0229028141581033,0.8620527859237536,5.15719298245614,5.453531092665669
Retargeting Boost,Google Ads,2025-05-05,159.74,58,5293,11,495.87,0.010957868883430947,2.754137931034483,14.521818181818183,3.1042318767997994
Engagement Surge,Meta Ads,2025-05-05,223.99,175,10383,12,330.09,0.016854473658865454,1.2799428571428573,18.665833333333335,1.4736818607973567
Conversion Magnet,Meta Ads,2025-05-05,187.31,399,10973,36,1751.25,0.036361979403991614,0.4694486215538847,5.203055555555555,9.349474133788906
Lookalike Expansion,Meta Ads,2025-05-05,234.47,421,12233,47,1289.3,0.0344151066786561,0.5569358669833729,4.988723404255319,5.4987844926856315
Video Funnel,YouTube,2025-05-05,138.99,88,8383,5,106.9,0.010497435285697245,1.5794318181818183,27.798000000000002,0.7691200805813367
Pre-Roll Push,YouTube,2025-05-05,60.18,147,3864,17,389.9,0.03804347826086957,0.40938775510204084,3.54,6.478896643403123
Channel Lift,YouTube,2025-05-05,172.9,143,8461,16,511.28,0.016901075522987828,1.2090909090909092,10.80625,2.9570850202429146
Trend Jumps,TikTok,2025-05-05,203.96,133,11300,14,542.86,0.011769911504424779,1.5335338345864662,14.56857142857143,2.6616003137870172
Creator Collab,TikTok,2025-05-05,175.78,410,11295,30,663.51,0.03629924745462594,0.42873170731707316,5.859333333333334,3.774661508704062
Viral Loop,TikTok,2025-05-05,210.6,218,6541,41,1527.83,0.03332823727258829,0.9660550458715597,5.136585365853659,7.254653371320038
Lead Magnet,LinkedIn,2025-05-05,147.04,232,8194,30,1447.32,0.028313400048816207,0.6337931034482758,4.901333333333333,9.8430359085963
B2B Outreach,LinkedIn,2025-05-05,146.53,463,10029,36,794.91,0.04616611825705454,0.31647948164146866,4.070277777777778,5.424895925748993
Webinar Promo,LinkedIn,2025-05-05,75.19,31,2310,4,88.54,0.01341991341991342,2.4254838709677418,18.7975,1.1775502061444343
Search Max,Google Ads,2025-05-06,129.74,90,8276,15,426.83,0.010874818753020783,1.4415555555555557,8.649333333333335,3.2898874672421763
Brand Awareness,Google Ads,2025-05-06,79.54,161,4602,29,1219.51,0.03498478922207736,0.49403726708074536,2.7427586206896555,15.332034196630625
Retargeting Boost,Google Ads,2025-05-06,250.87,177,10356,28,1237.74,0.017091541135573582,1.4173446327683616,8.959642857142857,4.933790409375374
Engagement Surge,Meta Ads,2025-05-06,297.63,344,13841,57,1722.77,0.024853695542229607,0.865203488372093,5.221578947368421,5.7882941907737795
Conversion Magnet,Meta Ads,2025-05-06,282.69,493,18187,80,3410.9,0.027107274426788366,0.5734077079107505,3.533625,12.065867204358131
Lookalike Expansion,Meta Ads,2025-05-06,75.78,151,5009,26,769.64,0.03014573767219006,0.5018543046357616,2.914615384615385,10.156241752441277
Video Funnel,YouTube,2025-05-06,273.88,130,12480,24,545.73,0.010416666666666666,2.1067692307692307,11.411666666666667,1.992587994742223
Pre-Roll Push,YouTube,2025-05-06,129.83,423,8828,57,2220.44,0.04791572270049842,0.3069267139479906,2.2777192982456143,17.102672725872292
Channel Lift,YouTube,2025-05-06,162.11,156,6764,23,979.14,0.023063276167947958,1.0391666666666668,7.048260869565218,6.039972857935969
Trend Jumps,TikTok,2025-05-06,247.89,208,15266,25,543.17,0.013625049128782917,1.191778846153846,9.9156,2.191173504376941
Creator Collab,TikTok,2025-05-06,187.38,406,8930,41,963.99,0.045464725643896975,0.4615270935960591,4.5702439024390245,5.144572526416907
Viral Loop,TikTok,2025-05-06,85.75,180,5184,11,247.76,0.034722222222222224,0.47638888888888886,7.795454545454546,2.88932944606414
Lead Magnet,LinkedIn,2025-05-06,225.24,317,7412,49,1099.58,0.04276848354020507,0.7105362776025237,4.5967346938775515,4.881814952939087
B2B Outreach,LinkedIn,2025-05-06,71.21,123,4946,12,532.61,0.024868580671249495,0.5789430894308942,5.934166666666666,7.479427046763096
Webinar Promo,LinkedIn,2025-05-06,286.81,799,19916,85,1912.93,0.04011849769029926,0.3589612015018773,3.374235294117647,6.669676789512221
Search Max,Google Ads,2025-05-07,244.29,344,12785,63,1470.16,0.02690653109112241,0.7101453488372093,3.8776190476190475,6.018093249826027
Brand Awareness,Google Ads,2025-05-07,173.16,151,5273,8,188.52,0.028636449838801443,1.1467549668874173,21.645,1.0887040887040889
Retargeting Boost,Google Ads,2025-05-07,79.38,176,4442,24,1172.76,0.03962179198559208,0.45102272727272724,3.3074999999999997,14.773998488284203
Engagement Surge,Meta Ads,2025-05-07,143.72,266,5954,22,1075.73,0.04467584816929795,0.5403007518796993,6.532727272727272,7.4849011967715
Conversion Magnet,Meta Ads,2025-05-07,53.04,42,3648,7,250.82,0.011513157894736841,1.262857142857143,7.577142857142857,4.7288838612368025
Lookalike Expansion,Meta Ads,2025-05-07,298.24,315,9827,61,2177.27,0.03205454360435535,0.9467936507936509,4.889180327868853,7.3003956545064375
Video Funnel,YouTube,2025-05-07,207.35,337,11991,48,1801.41,0.028104411642064883,0.6152818991097923,4.319791666666666,8.687774294670847
Pre-Roll Push,YouTube,2025-05-07,275.29,186,8759,35,1634.78,0.021235300833428474,1.4800537634408604,7.865428571428572,5.938392240909586
Channel Lift,YouTube,2025-05-07,163.91,189,8983,14,474.75,0.021039741734387177,0.8672486772486773,11.707857142857142,2.8964065645781223
Trend Jumps,TikTok,2025-05-07,138.34,96,7379,18,892.55,0.013009892939422686,1.4410416666666668,7.685555555555556,6.451857741795576
Creator Collab,TikTok,2025-05-07,224.54,258,11551,44,1783.85,0.022335728508354254,0.8703100775193798,5.103181818181818,7.944464237997684
Viral Loop,TikTok,2025-05-07,90.65,258,6022,49,2046.81,0.04284290933244769,0.35135658914728685,1.85,22.579260893546607
Lead Magnet,LinkedIn,2025-05-07,203.35,449,9502,80,1708.52,0.047253209850557774,0.45289532293986634,2.541875,8.401868699286943
B2B Outreach,LinkedIn,2025-05-07,56.59,108,2549,21,514.76,0.04236955668889761,0.5239814814814815,2.694761904761905,9.096306767980208
Webinar Promo,LinkedIn,2025-05-07,198.53,438,8980,77,3476.54,0.048775055679287305,0.4532648401826484,2.5783116883116883,17.511408855084873
Search Max,Google Ads,2025-05-08,167.17,163,7788,9,413.48,0.020929635336415,1.0255828220858896,18.574444444444442,2.4734103008913086
Brand Awareness,Google Ads,2025-05-08,253.23,883,17723,117,5039.15,0.049822264853580094,0.28678369195922987,2.1643589743589744,19.89949847964301
Retargeting Boost,Google Ads,2025-05-08,286.19,364,18312,42,1002.74,0.019877675840978593,0.7862362637362638,6.814047619047619,3.5037562458506586
Engagement Surge,Meta Ads,2025-05-08,288.51,299,15650,45,1734.47,0.019105431309904154,0.9649163879598662,6.411333333333333,6.0118193476829225
Conversion Magnet,Meta Ads,2025-05-08,139.54,177,4820,22,949.73,0.036721991701244815,0.7883615819209039,6.342727272727273,6.806148774544934
Lookalike Expansion,Meta Ads,2025-05-08,180.04,370,11538,49,2268.68,0.03206794938464205,0.4865945945945946,3.674285714285714,12.600977560542102
Video Funnel,YouTube,2025-05-08,150.87,59,5334,9,347.48,0.011061117360329959,2.557118644067797,16.763333333333335,2.3031749188042685
Pre-Roll Push,YouTube,2025-05-08,226.02,134,8705,6,183.11,0.015393452039058012,1.686716417910448,37.67,0.8101495442881161
Channel Lift,YouTube,2025-05-08,197.48,248,9022,46,1400.59,0.02748836178230991,0.7962903225806451,4.293043478260869,7.092313145635001
Trend Jumps,TikTok,2025-05-08,178.5,283,10950,40,1834.84,0.025844748858447487,0.6307420494699647,4.4625,10.27921568627451
Creator Collab,TikTok,2025-05-08,287.38,485,10312,60,1664.84,0.047032583397982934,0.5925360824742268,4.789666666666666,5.793165843134526
Viral Loop,TikTok,2025-05-08,164.78,338,11402,33,1287.07,0.029643922118926504,0.4875147928994083,4.993333333333333,7.8108386940162635
Lead Magnet,LinkedIn,2025-05-08,110.04,55,3635,3,73.67,0.015130674002751032,2.0007272727272727,36.68,0.6694838240639767
B2B Outreach,LinkedIn,2025-05-08,84.71,81,4712,8,375.23,0.017190152801358233,1.0458024691358023,10.58875,4.42958328414591
Webinar Promo,LinkedIn,2025-05-08,168.49,161,9553,12,254.71,0.016853344499110228,1.046521739130435,14.040833333333333,1.5117217639029021
Search Max,Google Ads,2025-05-09,92.23,64,3794,4,94.48,0.01686874011597259,1.44109375,23.0575,1.0243955329068632
Brand Awareness,Google Ads,2025-05-09,165.19,155,6319,19,773.53,0.024529197657857257,1.0657419354838709,8.69421052631579,4.6826684423996605
Retargeting Boost,Google Ads,2025-05-09,59.83,130,3708,8,369.66,0.03505933117583603,0.4602307692307692,7.47875,6.178505766337958
Engagement Surge,Meta Ads,2025-05-09,280.22,191,9091,32,1358.33,0.021009789902100978,1.4671204188481677,8.756875,4.847369923631431
Conversion Magnet,Meta Ads,2025-05-09,96.13,91,3688,11,424.02,0.02467462039045553,1.0563736263736263,8.739090909090908,4.41090190367211
Lookalike Expansion,Meta Ads,2025-05-09,142.23,275,6898,15,413.6,0.03986662800811829,0.5172,9.482,2.9079659706109826
Video Funnel,YouTube,2025-05-09,228.34,457,15026,59,1369.69,0.03041394915479835,0.4996498905908096,3.8701694915254237,5.998467198038013
Pre-Roll Push,YouTube,2025-05-09,161.85,163,8303,14,438.46,0.01963145850897266,0.9929447852760735,11.560714285714285,2.7090515909793016
Channel Lift,YouTube,2025-05-09,55.02,43,2359,4,94.37,0.018228062738448497,1.2795348837209304,13.755,1.7151944747364594
Trend Jumps,TikTok,2025-05-09,272.63,544,14652,91,3180.75,0.037128037128037125,0.5011580882352941,2.995934065934066,11.666911198327403
Creator Collab,TikTok,2025-05-09,71.73,123,3692,19,626.05,0.033315276273022755,0.5831707317073171,3.775263157894737,8.72786839537153
Viral Loop,TikTok,2025-05-09,81.9,83,3386,12,445.48,0.0245126993502658,0.9867469879518073,6.825,5.4393162393162395
Lead Magnet,LinkedIn,2025-05-09,139.02,330,9656,28,645.5,0.03417564208782104,0.4212727272727273,4.965000000000001,4.643216803337649
B2B Outreach,LinkedIn,2025-05-09,88.21,57,3514,4,114.21,0.016220830961866817,1.5475438596491227,22.0525,1.2947511619997734
Webinar Promo,LinkedIn,2025-05-09,93.34,81,6148,10,323.12,0.013175016265452179,1.1523456790123456,9.334,3.461752731947718
Search Max,Google Ads,2025-05-10,295.59,264,10192,51,2344.23,0.025902668759811617,1.1196590909090909,5.795882352941176,7.9306810108596375
Brand Awareness,Google Ads,2025-05-10,254.27,172,10251,25,1197.03,0.016778850843820116,1.4783139534883722,10.1708,4.707712274354033
Retargeting Boost,Google Ads,2025-05-10,189.19,212,10001,35,896.4,0.0211978802119788,0.8924056603773585,5.405428571428572,4.73809397959723
Engagement Surge,Meta Ads,2025-05-10,130.92,186,6155,16,375.12,0.030219333874898457,0.7038709677419355,8.1825,2.865261228230981
Conversion Magnet,Meta Ads,2025-05-10,202.66,279,8419,20,688.68,0.03313932771112959,0.7263799283154122,10.133,3.398203888285799
Lookalike Expansion,Meta Ads,2025-05-10,183.15,137,5874,9,197.11,0.023323118828736805,1.3368613138686132,20.35,1.0762216762216763
Video Funnel,YouTube,2025-05-10,297.49,540,12760,47,1900.92,0.04231974921630094,0.5509074074074074,6.329574468085107,6.3898618440956
Pre-Roll Push,YouTube,2025-05-10,240.06,372,12921,41,1249.11,0.028790341304852564,0.6453225806451613,5.8551219512195125,5.20332416895776
Channel Lift,YouTube,2025-05-10,282.38,867,17853,59,2473.64,0.04856326667786927,0.32569780853517877,4.786101694915254,8.759968836319853
Trend Jumps,TikTok,2025-05-10,284.59,134,10600,21,781.92,0.012641509433962264,2.1238059701492538,13.55190476190476,2.747531536596507
Creator Collab,TikTok,2025-05-10,260.46,387,9270,31,772.2,0.04174757281553398,0.6730232558139534,8.401935483870966,2.964754664823774
Viral Loop,TikTok,2025-05-10,91.07,208,5699,26,799.89,0.03649763116336199,0.4378365384615384,3.5026923076923073,8.783243658724059
Lead Magnet,LinkedIn,2025-05-10,269.3,525,12306,60,1878.5,0.042662116040955635,0.5129523809523809,4.488333333333333,6.975492016338656
B2B Outreach,LinkedIn,2025-05-10,165.67,278,6967,34,916.86,0.03990239701449692,0.5959352517985611,4.872647058823529,5.534254843966923
Webinar Promo,LinkedIn,2025-05-10,274.89,395,12467,73,2827.08,0.03168364482233095,0.6959240506329114,3.7656164383561643,10.284404670959294
Search Max,Google Ads,2025-05-11,79.22,187,5354,18,435.21,0.034927157265595817,0.42363636363636364,4.401111111111111,5.493688462509467
Brand Awareness,Google Ads,2025-05-11,248.51,426,13619,78,3405.32,0.03127982964975402,0.583356807511737,3.186025641025641,13.702949579493785
Retargeting Boost,Google Ads,2025-05-11,87.92,74,3733,11,231.07,0.01982319849986606,1.1881081081081082,7.992727272727273,2.628184713375796
Engagement Surge,Meta Ads,2025-05-11,192.47,524,11644,53,2365.8,0.04500171762281003,0.3673091603053435,3.631509433962264,12.291785732841483
Conversion Magnet,Meta Ads,2025-05-11,77.66,74,4959,8,351.35,0.014922363379713652,1.0494594594594595,9.7075,4.524208086531033
Lookalike Expansion,Meta Ads,2025-05-11,87.48,133,3426,21,823.92,0.03882078225335668,0.6577443609022556,4.1657142857142855,9.418381344307269
Video Funnel,YouTube,2025-05-11,223.49,231,11556,23,585.3,0.01998961578400831,0.9674891774891775,9.716956521739132,2.6189091234507136
Pre-Roll Push,YouTube,2025-05-11,277.11,384,14779,45,2178.83,0.02598281345151905,0.721640625,6.158,7.86268990653531
Channel Lift,YouTube,2025-05-11,88.34,142,4721,20,410.87,0.030078373226011437,0.622112676056338,4.417,4.651007471134254
Trend Jumps,TikTok,2025-05-11,268.03,588,18034,90,4290.75,0.032605079294665634,0.4558333333333333,2.9781111111111107,16.008469201208822
Creator Collab,TikTok,2025-05-11,226.81,270,8188,38,1243.51,0.03297508549096238,0.840037037037037,5.968684210526316,5.482606587011155
Viral Loop,TikTok,2025-05-11,234.11,741,15773,87,2035.55,0.046979014772078866,0.31593792172739543,2.6909195402298853,8.694844303959677
Lead Magnet,LinkedIn,2025-05-11,296.21,282,18825,53,2443.14,0.0149800796812749,1.0503900709219858,5.5888679245283015,8.24799972992134
B2B Outreach,LinkedIn,2025-05-11,179.71,250,9641,14,420.78,0.02593092002904263,0.71884,12.836428571428572,2.341438985031439
Webinar Promo,LinkedIn,2025-05-11,250.71,176,7567,19,686.32,0.023258887273688383,1.4244886363636364,13.195263157894738,2.7375054844242355
Search Max,Google Ads,2025-05-12,279.96,293,12277,47,1577.63,0.023865765252097416,0.955494880546075,5.95659574468085,5.635197885412203
Brand Awareness,Google Ads,2025-05-12,106.15,79,5105,6,209.71,0.015475024485798237,1.3436708860759494,17.691666666666666,1.975600565237871
Retargeting Boost,Google Ads,2025-05-12,154.73,252,10304,34,1324.91,0.024456521739130436,0.6140079365079365,4.550882352941176,8.562722161183999
Engagement Surge,Meta Ads,2025-05-12,53.27,51,3011,9,220.14,0.01693789438724676,1.0445098039215688,5.9188888888888895,4.132532382203866
Conversion Magnet,Meta Ads,2025-05-12,153.66,256,5134,32,1211.57,0.049863654070899883,0.600234375,4.801875,7.884745542105948
Lookalike Expansion,Meta Ads,2025-05-12,66.77,73,4006,13,340.0,0.018222666000998502,0.9146575342465753,5.136153846153846,5.09210723378763
Video Funnel,YouTube,2025-05-12,97.67,88,3072,11,241.68,0.028645833333333332,1.1098863636363636,8.879090909090909,2.4744547967646158
Pre-Roll Push,YouTube,2025-05-12,243.88,363,11738,42,1344.96,0.030925200204464133,0.6718457300275482,5.806666666666667,5.514843365589634
Channel Lift,YouTube,2025-05-12,189.91,118,6876,21,1016.05,0.01716114019778941,1.609406779661017,9.043333333333333,5.350165868042757
Trend Jumps,TikTok,2025-05-12,143.33,209,5852,23,477.52,0.03571428571428571,0.6857894736842106,6.231739130434783,3.331612363078211
Creator Collab,TikTok,2025-05-12,89.04,189,5221,10,266.59,0.03619996169316223,0.47111111111111115,8.904,2.9940476190476186
Viral Loop,TikTok,2025-05-12,107.77,66,6129,4,175.99,0.010768477728830151,1.6328787878787878,26.9425,1.6330147536420156
Lead Magnet,LinkedIn,2025-05-12,94.64,103,5310,6,163.77,0.019397363465160074,0.9188349514563107,15.773333333333333,1.7304522400676248
B2B Outreach,LinkedIn,2025-05-12,230.57,639,14809,70,2802.98,0.043149436153690324,0.36082942097026605,3.2938571428571426,12.156741987248992
Webinar Promo,LinkedIn,2025-05-12,101.25,193,4224,10,225.65,0.04569128787878788,0.5246113989637305,10.125,2.228641975308642
Search Max,Google Ads,2025-05-13,101.97,54,3167,7,228.5,0.017050836754025894,1.8883333333333334,14.567142857142857,2.2408551534765127
Brand Awareness,Google Ads,2025-05-13,273.17,405,17127,36,1130.07,0.023646873357856018,0.6744938271604939,7.588055555555556,4.136874473770911
Retargeting Boost,Google Ads,2025-05-13,197.57,281,8045,31,1133.4,0.03492852703542573,0.7030960854092526,6.373225806451613,5.736700916130992
Engagement Surge,Meta Ads,2025-05-13,159.03,318,6644,52,1258.58,0.04786273329319687,0.5000943396226415,3.058269230769231,7.914104257058416
Conversion Magnet,Meta Ads,2025-05-13,267.12,605,13221,102,3341.15,0.0457605324861962,0.4415206611570248,2.6188235294117646,12.508048817011082
Lookalike Expansion,Meta Ads,2025-05-13,55.62,71,2266,10,277.37,0.03133274492497794,0.7833802816901408,5.561999999999999,4.986875224739303
Video Funnel,YouTube,2025-05-13,84.84,265,5378,34,855.11,0.04927482335440684,0.3201509433962264,2.495294117647059,10.079090051862329
Pre-Roll Push,YouTube,2025-05-13,118.08,169,3629,11,410.25,0.04656930283824745,0.698698224852071,10.734545454545454,3.474339430894309
Channel Lift,YouTube,2025-05-13,118.51,222,6182,38,995.32,0.03591070850857328,0.5338288288288289,3.118684210526316,8.398616150535819
Trend Jumps,TikTok,2025-05-13,52.75,86,1871,15,568.84,0.04596472474612507,0.6133720930232558,3.5166666666666666,10.783696682464456
Creator Collab,TikTok,2025-05-13,200.13,192,11327,35,1139.71,0.016950648892027898,1.04234375,5.718,5.694848348573427
Viral Loop,TikTok,2025-05-13,145.78,87,7399,6,252.85,0.011758345722394918,1.675632183908046,24.296666666666667,1.7344628892852243
Lead Magnet,LinkedIn,2025-05-13,70.7,75,3826,8,229.29,0.019602718243596447,0.9426666666666667,8.8375,3.243140028288543
B2B Outreach,LinkedIn,2025-05-13,138.92,178,8163,24,822.76,0.02180570868553228,0.7804494382022471,5.788333333333333,5.922545349841636
Webinar Promo,LinkedIn,2025-05-13,215.92,572,14568,47,983.97,0.03926414058209775,0.3774825174825175,4.594042553191489,4.557104483141905
Search Max,Google Ads,2025-05-14,115.57,74,6218,9,341.15,0.011900932775812159,1.5617567567567567,12.841111111111111,2.9518906290559834
Brand Awareness,Google Ads,2025-05-14,133.56,115,8125,7,292.92,0.014153846153846154,1.1613913043478261,19.080000000000002,2.193171608265948
Retargeting Boost,Google Ads,2025-05-14,173.87,274,10003,23,1025.18,0.02739178246526042,0.6345620437956204,7.559565217391304,5.896244320469316
Engagement Surge,Meta Ads,2025-05-14,249.85,301,14438,41,1264.0,0.020847762848039894,0.8300664451827242,6.09390243902439,5.0590354212527515
